iter	Passed	Remaining
0	209	209131
1	244	121982
2	263	87514
3	280	69755
4	295	58797
5	311	51524
6	324	45976
7	337	41793
8	350	38564
9	365	36166
10	378	34073
11	395	32583
12	411	31237
13	427	30096
14	442	29083
15	459	28277
16	474	27465
17	490	26773
18	506	26153
19	523	25629
20	538	25120
21	551	24531
22	563	23937
23	576	23434
24	587	22926
25	599	22441
26	608	21929
27	620	21534
28	631	21146
29	642	20765
30	656	20525
31	669	20248
32	681	19978
33	692	19664
34	702	19361
35	712	19084
36	722	18815
37	735	18614
38	749	18457
39	763	18312
40	777	18193
41	793	18106
42	808	17994
43	823	17896
44	835	17735
45	855	17739
46	870	17647
47	882	17503
48	898	17432
49	912	17335
50	925	17212
51	939	17120
52	954	17053
53	966	16937
54	979	16829
55	992	16735
56	1008	16676
57	1019	16558
58	1036	16532
59	1053	16500
60	1066	16415
61	1086	16433
62	1108	16480
63	1127	16485
64	1140	16404
65	1156	16369
66	1170	16296
67	1185	16241
68	1199	16184
69	1216	16168
70	1233	16144
71	1285	16565
72	1309	16625
73	1332	16675
74	1348	16628
75	1359	16533
76	1376	16504
77	1390	16441
78	1404	16368
79	1421	16343
80	1435	16287
81	1449	16224
82	1463	16173
83	1481	16153
84	1498	16129
85	1517	16127
86	1536	16120
87	1552	16090
88	1567	16048
89	1583	16012
90	1598	15963
91	1614	15932
92	1632	15923
93	1649	15896
94	1663	15845
95	1679	15811
96	1696	15792
97	1710	15745
98	1727	15722
99	1743	15687
100	1754	15616
101	1818	16008
102	1878	16363
103	1897	16348
104	1912	16303
105	1926	16248
106	1941	16206
107	1958	16173
108	1972	16126
109	1991	16110
110	2007	16075
111	2019	16010
112	2033	15961
113	2048	15920
114	2064	15885
115	2077	15830
116	2093	15798
117	2109	15770
118	2126	15743
119	2146	15742
120	2167	15747
121	2194	15792
122	2212	15778
123	2229	15751
124	2247	15729
125	2264	15709
126	2279	15669
127	2306	15709
128	2320	15670
129	2337	15642
130	2356	15629
131	2372	15602
132	2389	15576
133	2414	15604
134	2432	15585
135	2447	15551
136	2463	15519
137	2477	15474
138	2492	15442
139	2507	15402
140	2524	15376
141	2538	15336
142	2553	15304
143	2583	15356
144	2595	15306
145	2611	15277
146	2626	15241
147	2639	15197
148	2650	15140
149	2661	15081
150	2673	15029
151	2683	14971
152	2692	14905
153	2706	14868
154	2720	14828
155	2731	14780
156	2742	14723
157	2754	14678
158	2766	14632
159	2776	14574
160	2788	14531
161	2800	14485
162	2812	14441
163	2823	14392
164	2835	14350
165	2846	14298
166	2858	14260
167	2870	14216
168	2883	14178
169	2895	14135
170	2904	14081
171	2916	14041
172	2929	14001
173	2942	13966
174	2952	13920
175	2964	13880
176	2976	13840
177	2987	13795
178	3000	13763
179	3014	13733
180	3028	13703
181	3040	13664
182	3053	13632
183	3067	13604
184	3082	13577
185	3097	13554
186	3111	13526
187	3124	13496
188	3140	13476
189	3153	13443
190	3166	13412
191	3177	13373
192	3195	13363
193	3214	13353
194	3228	13326
195	3244	13307
196	3259	13286
197	3275	13268
198	3289	13240
199	3303	13212
200	3322	13208
201	3342	13206
202	3359	13190
203	3374	13165
204	3397	13176
205	3426	13207
206	3453	13231
207	3477	13242
208	3495	13228
209	3513	13219
210	3528	13193
211	3546	13183
212	3567	13179
213	3582	13157
214	3597	13133
215	3612	13110
216	3626	13085
217	3640	13059
218	3655	13037
219	3671	13018
220	3694	13020
221	3709	13000
222	3726	12983
223	3737	12949
224	3754	12932
225	3771	12915
226	3787	12896
227	3803	12879
228	3818	12855
229	3835	12841
230	3851	12820
231	3867	12804
232	3883	12782
233	3901	12772
234	3918	12754
235	3933	12734
236	3947	12710
237	3965	12697
238	3983	12684
239	3999	12665
240	4017	12651
241	4033	12635
242	4047	12608
243	4062	12588
244	4078	12568
245	4091	12541
246	4106	12519
247	4123	12504
248	4139	12484
249	4152	12458
250	4185	12489
251	4197	12460
252	4216	12449
253	4229	12422
254	4245	12403
255	4263	12391
256	4286	12393
257	4308	12391
258	4325	12375
259	4344	12365
260	4363	12355
261	4377	12330
262	4393	12312
263	4475	12476
264	4504	12493
265	4524	12485
266	4542	12471
267	4557	12449
268	4578	12441
269	4595	12425
270	4611	12405
271	4628	12387
272	4647	12377
273	4664	12360
274	4690	12365
275	4708	12351
276	4725	12335
277	4743	12318
278	4759	12299
279	4773	12273
280	4786	12248
281	4802	12226
282	4817	12204
283	4831	12180
284	4846	12158
285	4862	12138
286	4881	12128
287	4899	12113
288	4914	12091
289	4929	12069
290	4944	12047
291	4959	12025
292	4971	11997
293	4985	11972
294	5001	11951
295	5012	11922
296	5026	11898
297	5040	11873
298	5053	11847
299	5064	11816
300	5077	11790
301	5090	11766
302	5106	11747
303	5122	11727
304	5137	11707
305	5156	11694
306	5171	11673
307	5188	11656
308	5201	11631
309	5221	11621
310	5234	11597
311	5251	11581
312	5270	11568
313	5283	11543
314	5298	11521
315	5312	11498
316	5324	11472
317	5337	11447
318	5351	11424
319	5364	11400
320	5374	11369
321	5386	11340
322	5402	11323
323	5418	11305
324	5435	11288
325	5452	11272
326	5472	11263
327	5489	11247
328	5504	11227
329	5522	11211
330	5538	11194
331	5554	11174
332	5571	11159
333	5588	11144
334	5606	11129
335	5625	11117
336	5642	11100
337	5654	11074
338	5669	11054
339	5689	11045
340	5707	11030
341	5725	11015
342	5739	10994
343	5759	10982
344	5795	11003
345	5811	10984
346	5831	10973
347	5847	10955
348	5865	10941
349	5883	10925
350	5897	10904
351	5910	10879
352	5923	10857
353	5936	10833
354	5950	10811
355	5964	10789
356	5982	10774
357	5997	10755
358	6013	10737
359	6028	10716
360	6044	10699
361	6059	10679
362	6073	10657
363	6088	10638
364	6101	10614
365	6121	10604
366	6139	10588
367	6154	10569
368	6167	10545
369	6179	10521
370	6195	10504
371	6208	10480
372	6222	10458
373	6235	10437
374	6251	10418
375	6267	10401
376	6280	10378
377	6293	10356
378	6307	10335
379	6320	10312
380	6338	10298
381	6351	10275
382	6365	10254
383	6380	10234
384	6396	10217
385	6416	10206
386	6437	10197
387	6459	10188
388	6490	10194
389	6512	10186
390	6527	10167
391	6542	10147
392	6557	10128
393	6572	10108
394	6596	10102
395	6611	10084
396	6625	10062
397	6637	10039
398	6651	10018
399	6665	9998
400	6684	9984
401	6701	9968
402	6714	9947
403	6728	9926
404	6745	9909
405	6758	9887
406	6769	9863
407	6781	9840
408	6795	9819
409	6806	9795
410	6823	9778
411	6834	9754
412	6850	9736
413	6863	9714
414	6874	9689
415	6885	9665
416	6896	9642
417	6910	9621
418	6923	9600
419	6934	9576
420	6947	9555
421	6961	9534
422	6975	9514
423	6988	9493
424	7001	9472
425	7014	9451
426	7025	9428
427	7038	9405
428	7052	9387
429	7069	9371
430	7084	9352
431	7099	9334
432	7131	9338
433	7145	9318
434	7160	9299
435	7173	9279
436	7187	9259
437	7200	9239
438	7213	9217
439	7225	9195
440	7236	9172
441	7246	9148
442	7260	9128
443	7272	9107
444	7283	9084
445	7293	9059
446	7304	9036
447	7315	9014
448	7325	8990
449	7337	8967
450	7348	8945
451	7359	8922
452	7370	8899
453	7381	8877
454	7391	8853
455	7404	8833
456	7415	8810
457	7424	8786
458	7436	8765
459	7448	8743
460	7458	8720
461	7469	8698
462	7481	8677
463	7493	8655
464	7508	8638
465	7520	8617
466	7535	8600
467	7560	8594
468	7578	8580
469	7593	8562
470	7610	8547
471	7623	8528
472	7634	8506
473	7648	8487
474	7699	8510
475	7759	8542
476	7778	8528
477	7801	8520
478	7822	8508
479	7844	8498
480	7859	8480
481	7876	8464
482	7893	8449
483	7910	8434
484	7927	8418
485	7947	8405
486	7965	8390
487	7982	8375
488	7997	8356
489	8012	8339
490	8027	8321
491	8040	8302
492	8054	8283
493	8066	8262
494	8083	8246
495	8095	8225
496	8111	8209
497	8126	8191
498	8137	8170
499	8156	8156
500	8169	8136
501	8183	8118
502	8196	8098
503	8212	8082
504	8230	8067
505	8247	8052
506	8261	8033
507	8277	8016
508	8290	7997
509	8308	7982
510	8323	7965
511	8339	7948
512	8356	7933
513	8374	7918
514	8390	7901
515	8402	7881
516	8416	7863
517	8432	7846
518	8448	7829
519	8462	7811
520	8476	7792
521	8493	7777
522	8509	7760
523	8522	7741
524	8537	7724
525	8550	7705
526	8566	7689
527	8581	7671
528	8601	7658
529	8618	7642
530	8637	7629
531	8656	7615
532	8671	7598
533	8693	7586
534	8707	7568
535	8719	7548
536	8733	7529
537	8747	7511
538	8767	7499
539	8795	7492
540	8817	7480
541	8863	7490
542	8907	7496
543	8934	7488
544	8957	7478
545	8981	7467
546	9000	7453
547	9019	7439
548	9036	7423
549	9052	7406
550	9071	7391
551	9089	7376
552	9101	7357
553	9112	7336
554	9127	7318
555	9148	7305
556	9167	7291
557	9186	7276
558	9202	7260
559	9223	7246
560	9243	7233
561	9260	7217
562	9277	7201
563	9293	7184
564	9306	7165
565	9318	7145
566	9328	7124
567	9340	7103
568	9357	7087
569	9370	7068
570	9379	7047
571	9389	7025
572	9401	7005
573	9412	6985
574	9422	6964
575	9434	6945
576	9447	6925
577	9458	6905
578	9472	6887
579	9487	6869
580	9501	6852
581	9514	6833
582	9527	6814
583	9540	6795
584	9555	6778
585	9572	6763
586	9588	6746
587	9605	6730
588	9622	6714
589	9645	6702
590	9663	6687
591	9683	6673
592	9700	6658
593	9714	6639
594	9727	6621
595	9742	6603
596	9755	6585
597	9769	6567
598	9783	6549
599	9799	6533
600	9817	6517
601	9832	6500
602	9847	6483
603	9863	6467
604	9882	6452
605	9900	6436
606	9918	6421
607	9937	6406
608	9954	6391
609	9970	6374
610	9985	6357
611	9998	6339
612	10012	6321
613	10027	6303
614	10042	6287
615	10057	6269
616	10074	6253
617	10092	6238
618	10108	6221
619	10121	6203
620	10138	6187
621	10151	6169
622	10166	6152
623	10180	6134
624	10193	6116
625	10208	6098
626	10220	6079
627	10234	6062
628	10246	6043
629	10258	6025
630	10273	6007
631	10285	5989
632	10299	5971
633	10311	5952
634	10323	5934
635	10337	5916
636	10350	5898
637	10368	5883
638	10382	5865
639	10396	5848
640	10407	5829
641	10420	5810
642	10432	5792
643	10444	5773
644	10456	5755
645	10470	5737
646	10570	5767
647	10600	5758
648	10618	5742
649	10636	5727
650	10652	5710
651	10667	5693
652	10680	5675
653	10694	5657
654	10709	5641
655	10722	5622
656	10744	5609
657	10761	5593
658	10779	5578
659	10798	5562
660	10816	5547
661	10834	5531
662	10850	5515
663	10864	5497
664	10879	5480
665	10892	5462
666	10907	5445
667	10918	5426
668	10931	5408
669	10943	5390
670	10968	5378
671	10984	5361
672	10998	5344
673	11012	5326
674	11029	5310
675	11044	5293
676	11059	5276
677	11075	5260
678	11089	5242
679	11105	5226
680	11117	5207
681	11129	5189
682	11142	5171
683	11157	5154
684	11169	5136
685	11183	5118
686	11200	5102
687	11216	5086
688	11229	5068
689	11244	5051
690	11260	5035
691	11277	5019
692	11292	5002
693	11308	4986
694	11323	4969
695	11341	4953
696	11358	4937
697	11378	4923
698	11396	4907
699	11410	4890
700	11425	4873
701	11443	4857
702	11456	4840
703	11474	4824
704	11492	4809
705	11508	4792
706	11525	4776
707	11541	4759
708	11555	4743
709	11574	4727
710	11589	4710
711	11607	4695
712	11625	4679
713	11640	4662
714	11659	4647
715	11673	4630
716	11687	4613
717	11703	4596
718	11719	4580
719	11735	4563
720	11754	4548
721	11773	4533
722	11795	4519
723	11807	4501
724	11822	4484
725	11837	4467
726	11856	4452
727	11873	4436
728	11894	4421
729	11911	4405
730	11926	4388
731	11943	4372
732	11960	4356
733	11977	4340
734	11993	4324
735	12012	4308
736	12028	4292
737	12044	4276
738	12060	4259
739	12076	4243
740	12094	4227
741	12116	4212
742	12134	4197
743	12153	4181
744	12174	4167
745	12194	4152
746	12210	4135
747	12226	4118
748	12257	4107
749	12272	4090
750	12285	4073
751	12299	4056
752	12316	4040
753	12338	4025
754	12354	4009
755	12373	3993
756	12394	3978
757	12412	3962
758	12430	3947
759	12447	3930
760	12461	3913
761	12477	3897
762	12495	3881
763	12510	3864
764	12530	3849
765	12547	3832
766	12565	3817
767	12625	3813
768	12672	3806
769	12717	3798
770	12740	3784
771	12766	3770
772	12780	3753
773	12798	3737
774	12812	3719
775	12922	3730
776	12975	3723
777	12999	3709
778	13017	3693
779	13048	3680
780	13074	3666
781	13102	3652
782	13123	3637
783	13149	3622
784	13171	3607
785	13204	3595
786	13239	3583
787	13279	3572
788	13304	3557
789	13322	3541
790	13339	3524
791	13357	3508
792	13376	3491
793	13391	3474
794	13407	3457
795	13425	3440
796	13445	3424
797	13465	3408
798	13502	3396
799	13557	3389
800	13608	3380
801	13648	3369
802	13675	3354
803	13694	3338
804	13710	3321
805	13725	3303
806	13742	3286
807	13764	3270
808	13787	3255
809	13809	3239
810	13831	3223
811	13856	3208
812	13876	3191
813	13899	3176
814	13923	3160
815	13947	3144
816	13969	3129
817	13990	3112
818	14012	3096
819	14036	3081
820	14058	3065
821	14078	3048
822	14111	3034
823	14156	3023
824	14178	3007
825	14207	2992
826	14228	2976
827	14253	2960
828	14269	2943
829	14292	2927
830	14316	2911
831	14338	2895
832	14366	2880
833	14397	2865
834	14423	2850
835	14439	2832
836	14459	2815
837	14475	2798
838	14492	2781
839	14513	2764
840	14531	2747
841	14551	2730
842	14570	2713
843	14591	2697
844	14638	2685
845	14656	2667
846	14680	2651
847	14695	2634
848	14710	2616
849	14722	2598
850	14738	2580
851	14756	2563
852	14775	2546
853	14791	2528
854	14809	2511
855	14825	2493
856	14842	2476
857	14859	2459
858	14880	2442
859	14903	2426
860	14925	2409
861	14940	2391
862	14957	2374
863	14976	2357
864	14992	2339
865	15007	2322
866	15026	2305
867	15041	2287
868	15054	2269
869	15066	2251
870	15088	2234
871	15108	2217
872	15125	2200
873	15143	2183
874	15170	2167
875	15190	2150
876	15209	2133
877	15230	2116
878	15247	2098
879	15262	2081
880	15278	2063
881	15293	2046
882	15309	2028
883	15325	2011
884	15340	1993
885	15353	1975
886	15367	1957
887	15382	1940
888	15413	1924
889	15437	1908
890	15462	1891
891	15485	1874
892	15505	1857
893	15521	1840
894	15541	1823
895	15559	1806
896	15581	1789
897	15598	1771
898	15614	1754
899	15680	1742
900	15715	1726
901	15731	1709
902	15757	1692
903	15776	1675
904	15805	1659
905	15834	1642
906	15864	1626
907	15897	1610
908	15924	1594
909	15954	1577
910	15988	1562
911	16045	1548
912	16100	1534
913	16133	1517
914	16150	1500
915	16168	1482
916	16184	1464
917	16204	1447
918	16225	1430
919	16251	1413
920	16272	1395
921	16292	1378
922	16311	1360
923	16330	1343
924	16343	1325
925	16358	1307
926	16370	1289
927	16383	1271
928	16401	1253
929	16420	1235
930	16436	1218
931	16451	1200
932	16466	1182
933	16481	1164
934	16496	1146
935	16515	1129
936	16559	1113
937	16580	1095
938	16599	1078
939	16618	1060
940	16637	1043
941	16658	1025
942	16675	1007
943	16689	990
944	16705	972
945	16717	954
946	16731	936
947	16745	918
948	16759	900
949	16773	882
950	16787	864
951	16801	847
952	16813	829
953	16828	811
954	16846	793
955	16865	776
956	16879	758
957	16894	740
958	16908	722
959	16920	705
960	16933	687
961	16945	669
962	16959	651
963	16975	633
964	16989	616
965	17002	598
966	17015	580
967	17026	562
968	17040	545
969	17053	527
970	17068	509
971	17095	492
972	17106	474
973	17119	456
974	17131	439
975	17140	421
976	17150	403
977	17160	386
978	17171	368
979	17182	350
980	17191	332
981	17202	315
982	17213	297
983	17222	280
984	17232	262
985	17240	244
986	17251	227
987	17260	209
988	17270	192
989	17279	174
990	17287	157
991	17296	139
992	17304	121
993	17313	104
994	17321	87
995	17331	69
996	17340	52
997	17351	34
998	17363	17
999	17372	0
